Datum;Feiertag
24.12.2025;Heiligabend
25.12.2025;1. Weihnachtsfeiertag
26.12.2025;2. Weihnachtsfeiertag
31.12.2025;Silvester
01.01.2026;Neujahr
03.04.2026;Karfreitag
05.04.2026;Ostern
06.04.2026;Ostermontag
14.05.2026;Christi Himmelfahrt
24.05.2026;Pfingsten
25.05.2026;Pfingstmontag
01.05.2026;Tag der Arbeit
03.10.2026;Tag der deutschen Einheit
24.12.2026;Heiligabend
25.12.2026;1. Weihnachtsfeiertag
26.12.2026;2. Weihnachtsfeiertag
31.12.2026;Silvester
01.01.2027;Neujahr
26.03.2027;Karfreitag
28.03.2027;Ostern
29.03.2027;Ostermontag
06.05.2027;Christi Himmelfahrt
16.05.2027;Pfingsten
17.05.2027;Pfingstmontag
01.05.2027;Tag der Arbeit
03.10.2027;Tag der deutschen Einheit
24.12.2027;Heiligabend
25.12.2027;1. Weihnachtsfeiertag
26.12.2027;2. Weihnachtsfeiertag
31.12.2027;Silvester
01.01.2028;Neujahr
14.04.2028;Karfreitag
16.04.2028;Ostern
17.04.2028;Ostermontag
25.05.2028;Christi Himmelfahrt
04.06.2028;Pfingsten
05.06.2028;Pfingstmontag
01.05.2028;Tag der Arbeit
03.10.2028;Tag der deutschen Einheit
24.12.2028;Heiligabend
25.12.2028;1. Weihnachtsfeiertag
26.12.2028;2. Weihnachtsfeiertag
31.12.2028;Silvester
01.01.2029;Neujahr
30.03.2029;Karfreitag
01.04.2029;Ostern
02.04.2029;Ostermontag
10.05.2029;Christi Himmelfahrt
20.05.2029;Pfingsten
21.05.2029;Pfingstmontag
01.05.2029;Tag der Arbeit
03.10.2029;Tag der deutschen Einheit
24.12.2029;Heiligabend
25.12.2029;1. Weihnachtsfeiertag
26.12.2029;2. Weihnachtsfeiertag
31.12.2029;Silvester
01.01.2030;Neujahr
19.04.2030;Karfreitag
21.04.2030;Ostern
22.04.2030;Ostermontag
30.05.2030;Christi Himmelfahrt
09.06.2030;Pfingsten
10.06.2030;Pfingstmontag
01.05.2030;Tag der Arbeit
03.10.2030;Tag der deutschen Einheit
24.12.2030;Heiligabend
25.12.2030;1. Weihnachtsfeiertag
26.12.2030;2. Weihnachtsfeiertag
31.12.2030;Silvester
01.01.2031;Neujahr
11.04.2031;Karfreitag
13.04.2031;Ostern
14.04.2031;Ostermontag
22.05.2031;Christi Himmelfahrt
01.06.2031;Pfingsten
02.06.2031;Pfingstmontag
01.05.2031;Tag der Arbeit
03.10.2031;Tag der deutschen Einheit
24.12.2031;Heiligabend
25.12.2031;1. Weihnachtsfeiertag
26.12.2031;2. Weihnachtsfeiertag
31.12.2031;Silvester
01.01.2032;Neujahr
26.03.2032;Karfreitag
28.03.2032;Ostern
29.03.2032;Ostermontag
06.05.2032;Christi Himmelfahrt
16.05.2032;Pfingsten
17.05.2032;Pfingstmontag
01.05.2032;Tag der Arbeit
03.10.2032;Tag der deutschen Einheit
24.12.2032;Heiligabend
25.12.2032;1. Weihnachtsfeiertag
26.12.2032;2. Weihnachtsfeiertag
31.12.2032;Silvester
01.01.2033;Neujahr
15.04.2033;Karfreitag
17.04.2033;Ostern
18.04.2033;Ostermontag
26.05.2033;Christi Himmelfahrt
05.06.2033;Pfingsten
06.06.2033;Pfingstmontag
01.05.2033;Tag der Arbeit
03.10.2033;Tag der deutschen Einheit
24.12.2033;Heiligabend
25.12.2033;1. Weihnachtsfeiertag
26.12.2033;2. Weihnachtsfeiertag
31.12.2033;Silvester
01.01.2034;Neujahr
07.04.2034;Karfreitag
09.04.2034;Ostern
10.04.2034;Ostermontag
18.05.2034;Christi Himmelfahrt
28.05.2034;Pfingsten
29.05.2034;Pfingstmontag
01.05.2034;Tag der Arbeit
03.10.2034;Tag der deutschen Einheit
24.12.2034;Heiligabend
25.12.2034;1. Weihnachtsfeiertag
26.12.2034;2. Weihnachtsfeiertag
31.12.2034;Silvester
01.01.2035;Neujahr
23.03.2035;Karfreitag
25.03.2035;Ostern
26.03.2035;Ostermontag
03.05.2035;Christi Himmelfahrt
13.05.2035;Pfingsten
14.05.2035;Pfingstmontag
01.05.2035;Tag der Arbeit
03.10.2035;Tag der deutschen Einheit
24.12.2035;Heiligabend
25.12.2035;1. Weihnachtsfeiertag
26.12.2035;2. Weihnachtsfeiertag
31.12.2035;Silvester
